Organisation,Department,Laboratory,Organisation Type,Total,Open,MC Total,MC Open
Amer-Sil S.A.,-,-,Large Company,1,0,0,0
ANEC GIE,Metrology,-,Public Research Institution,1,0,0,0
Complix Luxembourg SA,-,-,"Small Medium Enterprise, Start-up",3,0,0,0
Esch2022 a.s.b.l. European Capital of Culture,-,-,Other,1,0,0,0
ExaMotive S.A.,-,-,"Small Medium Enterprise, Start-up",3,0,0,0
HENDYPLAN,-,-,"Small Medium Enterprise, Start-up",1,0,0,0
Hydrosat,-,-,"Small Medium Enterprise, Start-up",1,0,0,0
Limitless sarl,-,-,"Small Medium Enterprise, Start-up",1,0,0,0
LISER,Human Resources,-,Public Research Institution,38,0,0,0
Luxembourg Institute of Health,Ressources Humaines,-,Public Research Institution,101,4,1,0
Luxembourg Institute of Science and Technology,-,-,Public Research Institution,481,23,0,0
Luxscan technologies SarL,-,-,"Small Medium Enterprise, Start-up",2,0,0,0
Max Planck Institute Luxembourg,-,-,Other,11,3,0,0
ODYSSEUS Space,-,-,"Small Medium Enterprise, Start-up",7,0,0,0
Univeristy of Luxembourg,FSTC,SECAN LAB,Research Laboratory,1,0,0,0
University of Luxembourg,Human Resources,-,Higher Education Institute,762,29,2,1
University of Luxembourg,"Interdisciplinary Centre for Security, Reliability and Trust",-,Public Research Institution,6,0,0,0
University of Luxembourg,Luxembourg Centre for Systems Biomedicine,Bioinformatics Core,Higher Education Institute,9,1,0,0
University of Luxembourg,Luxembourg Centre for Systems Biomedicine,Computational Biology,Higher Education Institute,1,0,0,0
